date,team,team_code,opponent,size,lineup,seconds,plus_minus,minutes,pm_per36
2026-07-24,Panteras,AGS,DRM,3,#15 MIGUEL SIMON / #2 SHAUN WILLETT / #24 GABRIEL GIRON,8,-3,0.13,-810.0
2026-07-24,Panteras,AGS,DRM,3,#15 MIGUEL SIMON / #24 GABRIEL GIRON / #4 TYLER CHEESE,80,-5,1.33,-135.0
2026-07-24,Panteras,AGS,DRM,3,#2 SHAUN WILLETT / #24 GABRIEL GIRON / #4 TYLER CHEESE,8,-3,0.13,-810.0
2026-07-24,Panteras,AGS,DRM,4,#15 MIGUEL SIMON / #2 SHAUN WILLETT / #24 GABRIEL GIRON / #4 TYLER CHEESE,8,-3,0.13,-810.0
2026-07-24,Panteras,AGS,DRM,3,#2 SHAUN WILLETT / #24 GABRIEL GIRON / #3 JALIN BILLINGSLEY,0,0,0.0,0.0
2026-07-24,Panteras,AGS,DRM,4,#2 SHAUN WILLETT / #24 GABRIEL GIRON / #3 JALIN BILLINGSLEY / #4 TYLER CHEESE,0,0,0.0,0.0
2026-07-24,Panteras,AGS,DRM,4,#0 JARON MARTIN / #15 MIGUEL SIMON / #24 GABRIEL GIRON / #4 TYLER CHEESE,72,-2,1.2,-60.0
2026-07-24,Panteras,AGS,DRM,4,#10 JONATAN MACHADO / #15 MIGUEL SIMON / #24 GABRIEL GIRON / #4 TYLER CHEESE,19,-2,0.32,-227.37
2026-07-24,Panteras,AGS,DRM,5,#0 JARON MARTIN / #10 JONATAN MACHADO / #15 MIGUEL SIMON / #24 GABRIEL GIRON / #4 TYLER CHEESE,19,-2,0.32,-227.37
2026-07-24,Panteras,AGS,DRM,3,#21 MIKYLE MCINTOSH / #24 GABRIEL GIRON / #4 TYLER CHEESE,53,0,0.88,0.0
2026-07-24,Panteras,AGS,DRM,4,#0 JARON MARTIN / #21 MIKYLE MCINTOSH / #24 GABRIEL GIRON / #4 TYLER CHEESE,53,0,0.88,0.0
2026-07-24,Panteras,AGS,DRM,4,#15 MIGUEL SIMON / #21 MIKYLE MCINTOSH / #24 GABRIEL GIRON / #4 TYLER CHEESE,53,0,0.88,0.0
2026-07-24,Panteras,AGS,DRM,5,#0 JARON MARTIN / #15 MIGUEL SIMON / #21 MIKYLE MCINTOSH / #24 GABRIEL GIRON / #4 TYLER CHEESE,53,0,0.88,0.0
