date,team,team_code,opponent,size,lineup,minutes,plus_minus,pm_per36
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #10 BRUNO PEDRO / #24 MICHAEL CARRERA,5.03,-1,-7.16
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,5.03,-1,-7.16
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #24 MICHAEL CARRERA / #66 GLENN COSEY,4.92,-1,-7.32
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #10 BRUNO PEDRO / #24 MICHAEL CARRERA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,4.92,-1,-7.32
2026-07-23,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #6 SANTIAGO SCALA,6.27,-5,-28.71
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,2.18,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA,2.18,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,2.18,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #6 SANTIAGO SCALA,15.57,-1,-2.31
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,11.1,4,12.97
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA,8.03,6,26.9
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,8.03,6,26.9
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #10 BRUNO PEDRO / #6 SANTIAGO SCALA,4.2,-5,-42.86
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,0.12,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA,0.12,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #10 BRUNO PEDRO / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,0.12,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,1,#21 PEDRO MENDOZA,3.33,-2,-21.62
2026-07-23,Diablos Rojos,DRM,AGS,2,#21 PEDRO MENDOZA / #9 THOMAS DRECHSEL,1.13,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,2,#21 PEDRO MENDOZA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,3,#21 PEDRO MENDOZA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #21 PEDRO MENDOZA,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #21 PEDRO MENDOZA / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #21 PEDRO MENDOZA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #21 PEDRO MENDOZA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #21 PEDRO MENDOZA,3.33,-2,-21.62
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #21 PEDRO MENDOZA / #9 THOMAS DRECHSEL,1.13,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #21 PEDRO MENDOZA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #21 PEDRO MENDOZA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #10 BRUNO PEDRO / #21 PEDRO MENDOZA,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #21 PEDRO MENDOZA / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #21 PEDRO MENDOZA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #10 BRUNO PEDRO / #21 PEDRO MENDOZA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,2,#6 SANTIAGO SCALA / #66 GLENN COSEY,13.88,2,5.19
2026-07-23,Diablos Rojos,DRM,AGS,2,#21 PEDRO MENDOZA / #6 SANTIAGO SCALA,3.33,-2,-21.62
2026-07-23,Diablos Rojos,DRM,AGS,3,#21 PEDRO MENDOZA / #6 SANTIAGO SCALA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #66 GLENN COSEY,4.08,-5,-44.12
